TIMESTAMP,ETH_OPEN_PRICE_USDT,ETH_HIGH_PRICE_USDT,ETH_LOW_PRICE_USDT,ETH_CLOSE_PRICE_USDT
2017-08-17 04:00:00,301.13,303.28,298.0,303.1
2017-08-17 06:00:00,303.1,307.96,301.9,307.96
2017-08-17 08:00:00,307.96,312.0,307.0,310.0
2017-08-17 10:00:00,310.0,310.97,307.78,308.95
2017-08-17 12:00:00,308.95,310.51,307.77,309.4
2017-08-17 14:00:00,309.4,309.4,303.56,307.06
2017-08-17 16:00:00,307.06,312.18,298.21,308.33
2017-08-17 18:00:00,308.33,311.53,298.96,301.6
2017-08-17 20:00:00,301.6,309.4,299.01,307.44
2017-08-17 22:00:00,307.44,310.85,302.0,302.0
2017-08-18 00:00:00,302.0,306.2,295.19,298.73
2017-08-18 02:00:00,298.73,306.47,298.73,301.4
2017-08-18 04:00:00,301.4,305.92,298.41,304.7
2017-08-18 06:00:00,304.7,309.49,303.21,306.24
2017-08-18 08:00:00,306.24,310.85,303.22,304.71
2017-08-18 10:00:00,304.71,311.79,304.71,307.78
2017-08-18 12:00:00,307.78,310.29,301.3,303.22
2017-08-18 14:00:00,303.22,303.22,296.32,298.8
2017-08-18 16:00:00,298.8,301.11,293.18,295.53
2017-08-18 18:00:00,295.53,298.25,287.37,293.83
2017-08-18 20:00:00,293.83,295.46,283.94,286.3
2017-08-18 22:00:00,286.3,294.19,284.02,293.96
2017-08-19 00:00:00,293.96,298.2,293.31,297.19
2017-08-19 02:00:00,297.19,299.84,292.83,293.22
2017-08-19 04:00:00,293.22,299.9,291.87,293.23
2017-08-19 06:00:00,293.23,295.56,287.01,290.16
2017-08-19 08:00:00,290.16,293.17,287.0,290.3
2017-08-19 10:00:00,290.3,292.24,278.0,282.58
2017-08-19 12:00:00,282.58,290.85,279.56,286.36
2017-08-19 14:00:00,286.36,288.64,283.0,288.64
2017-08-19 16:00:00,288.64,293.15,284.16,293.15
2017-08-19 18:00:00,293.15,295.0,288.95,293.31
2017-08-19 20:00:00,293.31,293.31,288.8,293.25
2017-08-19 22:00:00,293.25,294.9,290.91,290.91
2017-08-20 00:00:00,290.91,292.42,285.96,289.94
2017-08-20 02:00:00,289.94,292.42,287.66,292.41
2017-08-20 04:00:00,292.41,293.15,285.39,292.17
2017-08-20 06:00:00,292.17,295.56,287.87,292.08
2017-08-20 08:00:00,292.08,295.98,282.85,295.96
2017-08-20 10:00:00,295.96,296.89,292.59,295.0
2017-08-20 12:00:00,295.0,296.92,292.28,293.41
2017-08-20 14:00:00,293.41,295.16,293.41,295.1
2017-08-20 16:00:00,295.1,298.79,293.28,296.88
2017-08-20 18:00:00,296.88,300.53,294.91,297.88
2017-08-20 20:00:00,297.88,298.3,294.51,298.13
2017-08-20 22:00:00,298.13,300.53,297.19,299.1
2017-08-21 00:00:00,299.1,300.9,294.6,299.0
2017-08-21 02:00:00,299.0,299.85,294.6,299.85
2017-08-21 04:00:00,299.85,314.28,299.11,314.05
