Categorie: Alle categorieën

Maand,Ethereum: (Wereldwijd)
2009-01,2
2009-02,2
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,2
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,2
2016-02,2
2016-03,3
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,5
2017-04,4
2017-05,15
2017-06,32
2017-07,20
2017-08,18
2017-09,15
2017-10,13
2017-11,20
2017-12,44
2018-01,44
2018-02,22
2018-03,14
2018-04,12
2018-05,12
2018-06,9
2018-07,7
2018-08,8
2018-09,8
2018-10,6
2018-11,6
2018-12,7
2019-01,6
2019-02,5
2019-03,4
2019-04,5
2019-05,7
2019-06,7
2019-07,9
2019-08,5
2019-09,5
2019-10,4
2019-11,4
2019-12,4
2020-01,5
2020-02,8
2020-03,6
2020-04,7
2020-05,8
2020-06,7
2020-07,10
2020-08,15
2020-09,11
2020-10,7
2020-11,14
2020-12,18
2021-01,52
2021-02,62
2021-03,40
2021-04,54
2021-05,100
2021-06,46
2021-07,35
2021-08,48
2021-09,43
2021-10,46
2021-11,53
2021-12,47
2022-01,62
2022-02,49
2022-03,37
2022-04,33
2022-05,36
2022-06,38
2022-07,30
2022-08,29
2022-09,37
2022-10,20
2022-11,24
2022-12,16
2023-01,20
2023-02,16
2023-03,19
2023-04,22
2023-05,16
2023-06,16
2023-07,15
2023-08,14
2023-09,12
2023-10,14
2023-11,18
2023-12,21
2024-01,21
2024-02,26
2024-03,40
2024-04,23
2024-05,25
2024-06,19
2024-07,20
2024-08,20
2024-09,15
2024-10,13
2024-11,32
2024-12,32
2025-01,25
2025-02,24
2025-03,21
2025-04,18
2025-05,22
