TIMESTAMP,XRP_OPEN_PRICE_USD,XRP_HIGH_PRICE_USD,XRP_LOW_PRICE_USD,XRP_CLOSE_PRICE_USD,XRP_MARKET_CAP_USD_PER_BIC,XRP_VOLUME_USD_PER_CMC,XRP_MARKET_CAP_USD_PER_CMC
2017-06-01,0.2475,0.34,0.2456,0.3364,10535090947.0,588819008.0,12886398532.6
2017-06-02,0.3364,0.3372,0.2759,0.2959,12383080617.0,293676992.0,11719675780.6
2017-06-03,0.2959,0.307,0.2711,0.2921,11713457687.0,155454000.0,11377178598.8
2017-06-04,0.2921,0.31,0.271,0.2941,10711533703.0,153488000.0,11563837245.6
2017-06-05,0.2941,0.2979,0.2869,0.2888,11499300394.0,78433504.0,11354893881.4
2017-06-06,0.2888,0.295,0.274,0.284,11016336112.0,132720000.0,10989725765.2
2017-06-07,0.284,0.3,0.2717,0.2762,11093000174.0,145839008.0,10805693393.7
2017-06-08,0.2762,0.2973,0.27,0.2869,10929437301.0,103152000.0,11115200953.0
2017-06-09,0.2869,0.296,0.28,0.2814,11491811180.0,102482000.0,10962073248.2
2017-06-10,0.2814,0.2848,0.2555,0.2598,11029680984.0,156720992.0,9998356390.82
2017-06-11,0.2598,0.28,0.2543,0.2701,10125868261.0,114566000.0,10453865432.4
2017-06-12,0.2701,0.282,0.2325,0.2467,10707011180.0,149942000.0,9733521096.16
2017-06-13,0.2467,0.275,0.2454,0.2626,9697226013.0,111937000.0,10200681357.6
2017-06-14,0.2626,0.3,0.245,0.2623,10262348505.0,431096000.0,10671865889.1
2017-06-15,0.2623,0.2642,0.214,0.245,10396797450.0,191548000.0,9927365495.2
2017-06-16,0.245,0.257,0.2325,0.2506,9743342451.0,88152400.0,10034654835.6
2017-06-17,0.2506,0.265,0.2357,0.2597,9914576544.0,121948000.0,10275232610.5
2017-06-18,0.2597,0.278,0.247,0.2651,10318347456.0,232512000.0,10897411229.9
2017-06-19,0.2651,0.282,0.2588,0.281,10787364990.0,164955008.0,11336524061.9
2017-06-20,0.281,0.325,0.2742,0.308,11268367378.0,793609984.0,12422397867.5
2017-06-21,0.308,0.3126,0.2542,0.2726,12443802129.0,358492992.0,11347934562.8
2017-06-22,0.2726,0.2816,0.2513,0.2779,11702961958.0,194551008.0,11405013270.5
2017-06-23,0.2779,0.295,0.2767,0.2916,11336088772.0,177220992.0,12252401682.3
2017-06-24,0.2916,0.3039,0.2564,0.2775,12525763899.0,313710016.0,11912833655.3
2017-06-25,0.2775,0.2816,0.2485,0.2577,11725320729.0,158844992.0,11427030818.5
2017-06-26,0.2577,0.2672,0.2184,0.2461,11521572254.0,280100000.0,10617742337.5
2017-06-27,0.2461,0.2618,0.2261,0.2618,9822545087.0,186951008.0,10580140194.7
2017-06-28,0.2618,0.2687,0.2487,0.2686,10766657544.0,126278000.0,10739011162.6
2017-06-29,0.2686,0.2693,0.2513,0.2561,10171188173.0,89745296.0,10163338438.6
2017-06-30,0.2561,0.2596,0.245,0.2466,10069486247.0,67764496.0,10067954591.6
2017-07-01,0.2466,0.2518,0.2337,0.2386,9774910600.0,53611000.0,9754501291.18
2017-07-02,0.2386,0.2547,0.233,0.2537,9948140839.0,54095000.0,9934662270.73
2017-07-03,0.2537,0.2567,0.2445,0.2523,9946379435.0,60367800.0,9954190878.5
2017-07-04,0.2523,0.2581,0.2471,0.2473,9759172840.0,56008900.0,9753161092.6
2017-07-05,0.2473,0.2563,0.2434,0.252,9810981088.0,73292096.0,9822621670.05
2017-07-06,0.252,0.2528,0.2482,0.2506,9758904800.0,43845800.0,9750557278.23
2017-07-07,0.2506,0.2516,0.2298,0.2303,9179939017.0,88408000.0,9170021547.95
2017-07-08,0.2303,0.2321,0.2112,0.23,9043315345.0,124578000.0,9041898564.4
2017-07-09,0.23,0.2422,0.2259,0.2261,8973663311.0,82755000.0,8937822572.39
2017-07-10,0.2261,0.2269,0.1707,0.1883,7627261533.0,119367000.0,7779469800.36
2017-07-11,0.1883,0.1994,0.1511,0.1778,7104009719.0,271415008.0,7084634277.52
2017-07-12,0.1778,0.1971,0.1656,0.1958,7863289648.23,153023008.0,7863289648.23
2017-07-13,0.1958,0.2178,0.181,0.1925,7753814570.0,216750000.0,7689255290.72
2017-07-14,0.1925,0.1925,0.1717,0.1843,7563008585.0,97037600.0,7304809757.31
2017-07-15,0.1843,0.1848,0.1707,0.172,6901792900.0,131779000.0,6532089551.71
2017-07-16,0.172,0.1743,0.1275,0.1461,6281434127.0,257944000.0,5669269710.64
2017-07-17,0.1461,0.1732,0.1451,0.1723,6186892690.0,312684992.0,6811616682.58
2017-07-18,0.1723,0.189,0.1605,0.1788,6793696313.0,295840992.0,7226274120.95
2017-07-19,0.1788,0.1838,0.1574,0.163,7152180285.0,147778000.0,6447810207.18
2017-07-20,0.163,0.1962,0.162,0.1925,6475418297.0,183292000.0,7210076863.92
2017-07-21,0.1925,0.1936,0.1828,0.1835,7163208205.0,104722000.0,6992313741.56
2017-07-22,0.1835,0.2022,0.182,0.1977,7088195376.0,83913800.0,7402491087.56
2017-07-23,0.1977,0.2065,0.1873,0.1966,7309060101.0,195682000.0,7469041519.54
2017-07-24,0.1966,0.1984,0.1893,0.1915,7397321750.0,56632800.0,7359876264.71
2017-07-25,0.1915,0.1926,0.1658,0.1744,7024123740.0,166807008.0,6827134104.07
2017-07-26,0.1744,0.1787,0.1642,0.1723,6540983562.0,76584600.0,6662995240.07
2017-07-27,0.1723,0.1756,0.17,0.1725,6675874889.0,34575100.0,6649142909.04
2017-07-28,0.1725,0.1738,0.1591,0.1633,6574815046.0,74649800.0,6360878067.17
2017-07-29,0.1633,0.1704,0.155,0.169,6079474848.0,80897000.0,6511680445.88
2017-07-30,0.169,0.1709,0.1609,0.1633,6349109808.0,40621700.0,6328103274.65
2017-07-31,0.1633,0.1689,0.1585,0.1648,6323311638.0,57273800.0,6416422715.56
2017-08-01,0.1648,0.1847,0.162,0.1776,6551585193.0,119957000.0,6786988703.1
2017-08-02,0.1776,0.1794,0.1676,0.1709,6756782227.0,53441400.0,6635956325.85
2017-08-03,0.1709,0.1771,0.1696,0.1748,6608969830.0,31479000.0,6695294918.87
2017-08-04,0.1748,0.1767,0.1717,0.1744,6698707520.0,45170000.0,6661974120.28
2017-08-05,0.1744,0.1928,0.1719,0.1848,6796292598.0,114270000.0,7083526317.94
2017-08-06,0.1848,0.1896,0.1786,0.1802,7081762501.0,74161600.0,6918916204.74
2017-08-07,0.1802,0.1828,0.1766,0.1782,6911362467.0,58052100.0,6864352917.74
2017-08-08,0.1782,0.1972,0.1772,0.1967,6915848697.0,180028000.0,7384487132.88
2017-08-09,0.1967,0.1967,0.1818,0.1841,7243036700.0,97805400.0,7014890840.97
2017-08-10,0.1841,0.185,0.1784,0.1809,6921945368.0,48162800.0,6918778293.02
2017-08-11,0.1809,0.184,0.1758,0.1778,6946277137.0,54059700.0,6876897207.78
2017-08-12,0.1778,0.1825,0.1707,0.1716,6837585749.0,65229300.0,6667721897.44
