TIMESTAMP,XMR_OPEN_PRICE_USDT,XMR_HIGH_PRICE_USDT,XMR_LOW_PRICE_USDT,XMR_CLOSE_PRICE_USDT
2017-06-01,40.27,44.22,40.12,42.12
2017-06-02,42.12,43.11,41.22,42.59
2017-06-03,42.59,43.26,41.0,41.0
2017-06-04,41.0,41.0,41.0,41.0
2017-06-05,42.37,48.06,42.33,47.99
2017-06-06,47.99,55.65,45.45,55.6
2017-06-07,55.6,63.2,51.27,52.0
2017-06-08,52.0,56.2,49.55,56.2
2017-06-09,56.2,57.17,54.8,55.37
2017-06-10,55.37,56.4,50.9,51.03
2017-06-11,51.03,58.3,50.9,58.3
2017-06-12,58.3,59.51,43.0,49.05
2017-06-13,49.05,52.67,48.46,51.14
2017-06-14,51.14,52.51,42.79,45.0
2017-06-15,45.0,46.4,37.0,45.55
2017-06-16,45.55,47.52,43.0,47.5
2017-06-17,47.5,52.21,46.2,51.83
2017-06-18,51.83,53.66,47.56,49.72
2017-06-19,49.72,51.37,49.0,50.2
2017-06-20,50.2,53.12,50.2,50.7
2017-06-21,50.7,52.59,46.5,48.12
2017-06-22,48.12,50.45,47.59,49.72
2017-06-23,49.72,51.98,49.54,50.95
2017-06-24,50.95,51.19,46.0,46.65
2017-06-25,46.65,47.83,43.75,44.7
2017-06-26,44.7,47.0,37.5,43.13
2017-06-27,43.13,43.9,37.0,43.2
2017-06-28,43.2,46.9,41.3,46.71
2017-06-29,46.71,47.26,43.17,44.0
2017-06-30,44.0,45.4,42.7,43.11
2017-07-01,43.11,43.26,38.55,40.2
2017-07-02,40.2,42.48,39.04,41.87
2017-07-03,41.87,44.31,41.0,43.36
2017-07-04,43.36,45.66,43.22,45.3
2017-07-05,45.3,46.57,44.15,45.99
2017-07-06,45.99,50.4,45.92,50.0
2017-07-07,50.0,50.54,43.0,43.67
2017-07-08,43.67,46.3,39.9,46.3
2017-07-09,46.3,46.8,43.5,44.6
2017-07-10,44.6,44.8,38.1,39.68
2017-07-11,39.68,40.32,34.19,36.85
2017-07-12,36.85,40.65,34.52,40.4
2017-07-13,40.4,40.61,36.58,38.0
2017-07-14,38.0,38.4,34.0,35.62
2017-07-15,35.62,35.62,31.22,32.0
2017-07-16,32.0,32.76,28.62,29.2
2017-07-17,29.2,35.0,29.2,34.81
2017-07-18,34.81,38.0,33.0,36.55
2017-07-19,36.55,37.69,34.0,35.05
2017-07-20,35.05,41.0,34.83,40.8
2017-07-21,40.8,41.75,39.25,40.3
2017-07-22,40.3,45.0,40.07,45.0
2017-07-23,45.0,45.18,41.0,42.61
2017-07-24,42.61,46.01,41.51,45.88
2017-07-25,45.88,46.16,38.0,40.59
2017-07-26,40.59,46.7,38.4,45.97
2017-07-27,45.97,46.55,43.8,45.4
2017-07-28,45.4,45.9,42.1,43.97
2017-07-29,43.97,44.59,42.13,44.01
2017-07-30,44.01,44.12,39.09,39.77
2017-07-31,39.77,41.02,38.84,39.9
2017-08-01,39.9,45.5,39.65,44.2
2017-08-02,44.2,44.66,42.58,43.45
2017-08-03,43.45,44.48,42.9,43.56
2017-08-04,43.56,45.0,42.52,44.95
2017-08-05,44.95,49.2,44.78,48.66
2017-08-06,48.66,49.29,47.35,47.83
2017-08-07,47.83,50.5,46.97,50.49
2017-08-08,50.49,52.91,49.72,52.0
2017-08-09,52.0,53.44,49.09,51.06
2017-08-10,51.06,51.4,49.29,49.3
2017-08-11,49.3,51.44,48.76,50.36
2017-08-12,50.36,51.5,44.28,49.45
2017-08-13,49.45,50.2,45.5,47.8
2017-08-14,47.8,49.9,46.33,49.67
2017-08-15,49.67,50.26,45.08,48.71
2017-08-16,48.71,49.1,47.0,48.6
2017-08-17,48.6,49.62,47.0,47.2
2017-08-18,47.2,50.0,45.1,46.46
2017-08-19,46.46,58.5,46.44,55.63
2017-08-20,55.63,56.46,51.9,55.3
2017-08-21,55.3,100.0,52.5,77.64
2017-08-22,77.64,96.52,71.65,89.95
2017-08-23,89.95,100.24,84.83,90.37
2017-08-24,90.37,94.0,79.12,86.0
2017-08-25,86.0,110.0,84.81,108.0
2017-08-26,108.0,148.0,104.1,138.2
2017-08-27,138.2,139.56,123.25,130.93
2017-08-28,130.93,153.43,128.0,144.0
2017-08-29,144.0,144.72,127.41,133.4
2017-08-30,133.4,137.6,121.32,134.0
2017-08-31,134.0,143.73,132.17,140.54
2017-09-01,140.54,150.0,134.9,143.04
2017-09-02,143.04,143.04,117.39,121.42
2017-09-03,121.42,129.48,110.39,125.99
2017-09-04,125.99,126.1,98.56,105.1
2017-09-05,105.1,122.0,93.4,118.46
2017-09-06,118.46,124.73,114.34,123.0
2017-09-07,123.0,124.5,116.0,122.9
2017-09-08,122.9,135.05,105.0,116.55
2017-09-09,116.55,119.43,112.0,116.0
2017-09-10,116.0,117.22,102.03,112.28
2017-09-11,112.28,116.0,109.15,112.4
2017-09-12,112.4,116.3,108.69,111.21
2017-09-13,111.21,113.0,101.2,109.89
2017-09-14,109.89,119.9,85.0,85.64
