TIMESTAMP,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD,LTC_CLOSE_PRICE_USD
2017-06-01,25.88,29.94,25.87,27.74
2017-06-02,27.74,28.95,26.56,27.9
2017-06-03,27.9,28.3,26.79,27.4
2017-06-04,27.4,27.9,26.79,27.79
2017-06-05,27.79,31.8,27.78,30.7
2017-06-06,30.7,31.33,28.08,30.1
2017-06-07,30.1,30.8,27.65,28.6
2017-06-08,28.6,30.85,27.99,30.08
2017-06-09,30.08,30.9,29.5,29.56
2017-06-10,29.56,30.25,29.0,30.13
2017-06-11,30.13,35.5,29.53,34.04
2017-06-12,34.04,34.17,27.0,29.06
2017-06-13,29.06,30.65,28.71,30.32
2017-06-14,30.32,32.0,27.5,28.81
2017-06-15,28.81,29.4,24.42,28.97
2017-06-16,28.97,33.9,27.65,33.89
2017-06-17,33.89,49.0,33.61,46.01
2017-06-18,46.01,46.65,39.56,43.66
2017-06-19,43.66,49.99,42.27,47.63
2017-06-20,47.63,48.45,42.5,45.63
2017-06-21,45.63,46.16,41.5,44.0
2017-06-22,44.0,47.89,42.87,45.98
2017-06-23,45.98,46.96,45.52,46.03
2017-06-24,46.03,46.13,42.05,43.05
2017-06-25,43.05,43.76,38.27,40.8
2017-06-26,40.8,41.98,33.38,38.15
2017-06-27,38.15,40.5,33.61,40.5
2017-06-28,40.5,43.44,37.3,42.0
2017-06-29,42.0,42.14,39.6,40.2
2017-06-30,40.2,41.2,39.22,39.49
2017-07-01,39.49,39.83,37.4,38.37
2017-07-02,38.37,41.99,37.15,41.59
2017-07-03,41.59,47.7,40.6,45.51
2017-07-04,45.51,55.4,45.51,54.89
2017-07-05,54.89,57.75,49.01,53.4
2017-07-06,53.4,53.4,50.01,51.2
2017-07-07,51.2,51.36,44.28,46.21
2017-07-08,46.21,52.61,44.18,51.27
2017-07-09,51.27,52.55,48.33,48.76
2017-07-10,48.76,49.84,42.1,44.74
2017-07-11,44.74,46.78,41.38,43.92
2017-07-12,43.92,48.48,42.1,47.0
2017-07-13,47.0,47.88,44.1,45.48
2017-07-14,45.48,45.72,40.0,42.78
2017-07-15,42.78,42.99,37.5,38.14
2017-07-16,38.14,41.99,34.78,40.69
2017-07-17,40.69,43.08,39.72,42.36
2017-07-18,42.36,45.0,40.56,43.5
2017-07-19,43.5,43.96,39.68,40.19
2017-07-20,40.19,45.0,40.12,44.72
2017-07-21,44.72,47.93,44.0,45.4
2017-07-22,45.4,47.52,44.43,46.7
2017-07-23,46.7,46.95,44.1,45.23
2017-07-24,45.23,45.49,44.41,45.01
2017-07-25,45.01,45.15,40.23,42.21
2017-07-26,42.21,43.0,40.4,41.99
2017-07-27,41.99,42.3,40.8,41.87
2017-07-28,41.87,42.17,40.1,40.35
2017-07-29,40.35,41.5,38.28,41.01
2017-07-30,41.01,42.16,39.56,40.82
2017-07-31,40.82,43.8,38.4,42.27
2017-08-01,42.27,43.84,41.18,43.18
2017-08-02,43.18,43.23,41.52,41.82
2017-08-03,41.82,42.87,41.73,42.49
2017-08-04,42.49,43.49,42.34,43.07
2017-08-05,43.07,47.09,43.06,45.85
2017-08-06,45.85,46.65,44.78,45.33
2017-08-07,45.33,46.5,45.01,45.99
2017-08-08,45.99,49.98,45.76,49.06
2017-08-09,49.06,49.95,46.66,47.69
2017-08-10,47.69,48.6,47.01,47.2
2017-08-11,47.2,47.71,46.6,47.08
2017-08-12,47.08,47.8,46.01,46.33
2017-08-13,46.33,47.38,44.05,45.22
2017-08-14,45.22,46.34,44.82,45.59
2017-08-15,45.59,45.7,41.65,43.1
2017-08-16,43.1,44.94,42.01,43.8
2017-08-17,43.8,44.7,43.13,43.88
2017-08-18,43.88,47.99,43.29,46.69
2017-08-19,46.69,47.0,43.76,45.18
2017-08-20,45.18,47.15,44.07,45.57
2017-08-21,45.57,48.87,44.9,47.99
2017-08-22,47.99,47.99,44.65,46.43
2017-08-23,46.43,55.0,46.08,53.31
2017-08-24,53.31,53.46,50.23,51.09
2017-08-25,51.09,52.2,50.1,51.11
2017-08-26,51.11,52.0,50.0,51.55
2017-08-27,51.55,64.67,51.2,61.56
2017-08-28,61.56,64.73,58.77,62.38
2017-08-29,62.38,64.45,61.25,63.75
2017-08-30,63.75,67.5,62.0,66.12
2017-08-31,66.12,74.8,65.22,73.23
2017-09-01,73.23,98.28,71.51,89.23
2017-09-02,89.23,93.85,73.87,79.84
2017-09-03,79.84,84.62,77.26,79.44
2017-09-04,79.44,79.51,64.0,71.25
2017-09-05,71.25,74.95,66.0,74.19
2017-09-06,74.19,82.67,74.19,81.47
2017-09-07,81.47,82.75,77.37,80.23
2017-09-08,80.23,82.11,68.12,73.7
2017-09-09,73.7,74.5,69.1,71.27
2017-09-10,71.27,71.44,65.02,67.44
2017-09-11,67.44,71.55,65.5,68.28
2017-09-12,68.28,71.93,65.02,66.0
2017-09-13,66.0,66.46,57.74,61.8
2017-09-14,61.8,62.6,45.1,45.42
2017-09-15,45.42,62.41,33.56,52.29
2017-09-16,52.29,59.0,50.64,52.47
2017-09-17,52.47,54.1,47.87,51.37
2017-09-18,51.37,58.0,51.36,56.3
2017-09-19,56.3,56.86,51.38,52.95
2017-09-20,52.95,54.6,51.11,51.57
2017-09-21,51.57,52.5,45.18,46.61
2017-09-22,46.61,49.72,45.0,47.81
2017-09-23,47.81,50.24,46.45,49.41
2017-09-24,49.41,49.58,47.1,47.7
2017-09-25,47.7,53.25,47.53,52.22
2017-09-26,52.22,54.41,51.5,52.34
2017-09-27,52.34,57.44,52.32,56.88
2017-09-28,56.88,57.11,54.07,54.87
2017-09-29,54.87,54.87,50.35,52.62
2017-09-30,52.62,55.92,52.54,55.26
2017-10-01,55.26,55.33,53.5,54.69
2017-10-02,54.69,55.08,52.62,53.37
2017-10-03,53.37,53.59,51.35,52.15
2017-10-04,52.15,53.0,50.53,51.16
2017-10-05,51.16,51.94,50.25,51.67
2017-10-06,51.67,52.73,51.4,52.12
2017-10-07,52.12,52.85,51.6,52.57
2017-10-08,52.57,54.79,52.4,53.27
2017-10-09,53.27,53.41,48.15,50.04
2017-10-10,50.04,51.48,49.59,50.4
2017-10-11,50.4,51.0,50.22,50.81
2017-10-12,50.81,59.58,50.66,59.58
2017-10-13,59.58,60.96,55.25,58.9
2017-10-14,58.9,66.85,58.3,63.94
2017-10-15,63.94,69.59,62.06,65.51
2017-10-16,65.51,66.4,62.33,64.72
2017-10-17,64.72,64.99,58.51,59.19
2017-10-18,59.19,61.85,52.9,60.67
2017-10-19,60.67,61.42,58.34,59.84
2017-10-20,59.84,62.2,58.52,60.12
2017-10-21,60.12,60.38,56.2,58.14
2017-10-22,58.14,58.89,56.12,56.75
2017-10-23,56.75,56.75,52.45,54.76
2017-10-24,54.76,59.19,52.5,55.61
2017-10-25,55.61,56.92,53.55,56.36
2017-10-26,56.36,57.16,54.89,55.56
2017-10-27,55.56,56.15,54.75,55.24
2017-10-28,55.24,55.88,54.01,54.52
2017-10-29,54.52,58.0,54.26,56.59
2017-10-30,56.59,58.39,55.85,56.4
2017-10-31,56.4,56.81,55.4,55.41
2017-11-01,55.41,55.6,52.82,53.0
2017-11-02,53.0,54.85,50.25,54.35
2017-11-03,54.35,56.35,53.96,56.19
2017-11-04,56.19,56.3,54.65,55.09
2017-11-05,55.09,55.53,54.38,54.67
2017-11-06,54.67,55.85,53.37,54.6
2017-11-07,54.6,63.71,54.6,60.61
2017-11-08,60.61,64.3,59.6,62.46
2017-11-09,62.46,67.24,61.89,64.4
2017-11-10,64.4,65.94,56.13,59.32
2017-11-11,59.32,63.99,59.02,62.49
2017-11-12,62.49,62.6,57.08,58.81
2017-11-13,58.81,62.42,58.23,61.24
2017-11-14,61.24,63.57,60.56,62.33
2017-11-15,62.33,65.43,62.2,63.3
2017-11-16,63.3,72.5,62.52,70.56
2017-11-17,70.56,71.46,65.52,67.5
2017-11-18,67.5,69.95,65.62,69.35
2017-11-19,69.35,73.4,68.55,71.7
2017-11-20,71.7,73.25,71.13,72.62
2017-11-21,72.62,73.0,68.0,70.0
2017-11-22,70.0,72.32,70.0,72.31
2017-11-23,72.31,77.96,71.07,73.3
2017-11-24,73.3,77.7,72.51,77.54
2017-11-25,77.54,89.88,77.24,89.13
2017-11-26,89.13,89.21,84.18,86.62
2017-11-27,86.62,93.89,86.4,91.38
2017-11-28,91.38,94.88,89.96,94.49
2017-11-29,94.49,103.54,76.01,86.7
2017-11-30,86.7,93.5,78.0,85.82
2017-12-01,85.82,100.77,82.0,100.16
2017-12-02,100.16,104.75,98.1,99.65
2017-12-03,99.65,107.49,97.0,101.2
2017-12-04,101.2,104.5,95.47,104.28
2017-12-05,104.28,104.29,101.01,101.01
2017-12-06,101.01,103.9,97.75,100.01
2017-12-07,100.01,102.48,95.01,97.96
2017-12-08,97.96,144.75,95.8,128.97
2017-12-09,128.97,199.0,128.96,160.95
2017-12-10,160.95,160.95,135.45,150.99
2017-12-11,150.99,235.0,149.96,218.6
2017-12-12,218.6,420.0,213.3,352.08
2017-12-13,352.08,372.55,275.0,312.89
2017-12-14,312.89,324.62,256.1,283.8
2017-12-15,283.8,322.97,252.22,303.79
2017-12-16,303.79,314.97,280.0,306.86
2017-12-17,306.86,334.85,303.24,324.74
