TIMESTAMP,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD,ETH_FIRST_TRADE_PRICE_USD,ETH_HIGH_TRADE_PRICE_USD,ETH_LOW_TRADE_PRICE_USD,ETH_LAST_TRADE_PRICE_USD,ETH_TOTAL_TRADE_COUNT,ETH_TOTAL_TRADES_BUY,ETH_TOTAL_TRADES_SELL,ETH_VOLUME_USD,ETH_QUOTE_VOLUME,ETH_VOLUME_BUY,ETH_QUOTE_VOLUME_BUY,ETH_VOLUME_SELL,ETH_QUOTE_VOLUME_SELL,ETH_MARKET_CAP_USD_PER_ETHERSCAN,ETH_SUPPLY_PER_ETHERSCAN,ETH_VOLUME_USD_PER_CMC,ETH_MARKET_CAP_USD_PER_CMC
2017-06-01,218.34,227.32,196.0,211.4,,,,,,,,,,,,,,20332882445.39688,92129055.03125,812924032.0,20474652879.1
2017-06-02,211.4,219.21,208.23,214.77,,,,,,,,,,,,,,20462290630.71375,92155875.65625,469532000.0,20622162298.6
2017-06-03,214.77,217.99,210.01,217.01,,,,,,,,,,,,,,20676737923.743748,92183405.8125,427896000.0,20683715605.0
2017-06-04,217.01,245.98,216.1,241.06,,,,,,,,,,,,,,22587917042.43,92210634.5625,753820032.0,22622207553.3
2017-06-05,241.06,244.29,231.72,242.16,,,,,,,,,,,,,,22852070266.02344,92238426.90625,435660000.0,22917910489.0
2017-06-06,242.16,264.99,238.23,261.89,,,,,,,,,,,,,,24382188889.370625,92265908.15625,741553024.0,24401181120.6
2017-06-07,261.89,263.7,241.01,250.7,,,,,,,,,,,,,,23605954261.84437,92293678.9375,461648992.0,23818300201.8
2017-06-08,250.7,258.93,242.04,256.95,,,,,,,,,,,,,,23949071075.73937,92321310.1875,385494016.0,24157329920.9
2017-06-09,256.95,279.9,256.95,278.41,,,,,,,,,,,,,,25775518277.93312,92348960.1875,557985984.0,26018098658.2
2017-06-10,278.41,341.94,278.26,325.88,,,,,,,,,,,,,,31034093107.053123,92377118.9375,1611629952.0,31192780483.0
2017-06-11,325.88,347.0,310.0,336.33,,,,,,,,,,,,,,31388145908.515003,92405045.65625,1373219968.0,31473965820.8
2017-06-12,336.33,412.21,297.0,386.9,,,,,,,,,,,,,,36479665511.35813,92433146.28125,2882650112.0,37110948644.2
2017-06-13,386.9,395.0,345.61,382.7,,,,,,,,,,,,,,35883353409.51375,92461422.375,1717379968.0,36756801122.8
2017-06-14,382.7,385.73,315.0,335.95,,,,,,,,,,,,,,31801655396.42,92489691.125,1272579968.0,33208658541.8
2017-06-15,335.95,344.0,265.0,338.7,,,,,,,,,,,,,,31889066282.115,92517889.875,2463450112.0,33485258151.5
2017-06-16,338.7,355.51,305.22,348.44,,,,,,,,,,,,,,32725283285.908123,92546260.8125,1096280064.0,34263095461.8
2017-06-17,348.44,366.08,332.0,364.56,,,,,,,,,,,,,,34076695489.9875,92574559.875,904652992.0,35124053707.0
2017-06-18,364.56,377.46,336.89,348.88,,,,,,,,,,,,,,32552784396.73375,92603147.375,904702976.0,34398150200.6
2017-06-19,348.88,362.5,344.13,355.5,,,,,,,,,,,,,,33180703719.13125,92631780.34375,685171968.0,34278915230.0
2017-06-20,355.5,366.52,328.0,344.15,,,,,,,,,,,,,,32479580401.11344,92658489.71875,1020390016.0,33260958885.1
2017-06-21,344.15,348.5,287.11,321.66,,,,,,,,,,,,,,30150313554.65,92684640.5,1420130048.0,31222823000.4
2017-06-22,321.66,328.99,305.0,320.94,,,,,,,,,,,,,,29757505448.56781,92711173.78125,925766976.0,31185326164.1
2017-06-23,320.94,329.9,316.36,324.37,,,,,,,,,,,,,,30311178752.52656,92737276.28125,593206976.0,31691908923.7
2017-06-24,324.37,327.55,291.53,296.89,,,,,,,,,,,,,,28250278905.991875,92763771.28125,673585024.0,30027238695.6
2017-06-25,296.89,306.39,253.2,277.0,,,,,,,,,,,,,,25921857534.93,92790154.40625,1186880000.0,28138409363.6
2017-06-26,277.0,286.85,214.99,251.3,,,,,,,,,,,,,,23545779387.952503,92816853.46875,2081810048.0,25309759967.6
2017-06-27,251.3,279.0,204.11,279.0,,,,,,,,,,,,,,26566220723.38875,92843435.8125,1973869952.0,27211279055.1
2017-06-28,279.0,318.27,255.0,311.62,,,,,,,,,,,,,,29333942985.139374,92870078.46875,2056550016.0,30454577323.1
2017-06-29,311.62,318.27,276.0,285.3,,,,,,,,,,,,,,27209556892.1375,92897087.375,1508579968.0,28136918558.1
2017-06-30,285.3,301.9,267.35,275.62,,,,,,,,,,,,,,26081892496.665,92923943.625,1011800000.0,27404731860.5
2017-07-01,275.62,277.63,238.0,255.0,,,,,,,,,,,,,,24260113581.75,92950626.75,1089200000.0,25524313602.7
2017-07-02,255.0,285.91,242.81,277.64,,,,,,,,,,,,,,26404634529.234062,92977339.09375,1123330048.0,26776243984.3
2017-07-03,277.64,283.98,266.45,273.99,,,,,,,,,,,,,,25707365647.71593,93004470.34375,851408000.0,26310761677.2
2017-07-04,273.99,283.0,260.0,266.68,,,,,,,,,,,,,,25030215509.43125,93031836.125,687691008.0,25425860777.0
2017-07-05,266.68,272.12,249.53,264.77,,,,,,,,,,,,,,24753586652.375,93058596.4375,790256000.0,25011710284.7
2017-07-06,264.77,273.0,258.37,265.35,,,,,,,,,,,,,,24749578855.24,93085523.0,623080000.0,25179348910.6
2017-07-07,265.35,265.8,233.84,238.38,,,,,,,,,,,,,,22434600674.810623,93112810.96875,687251968.0,22900134646.4
2017-07-08,238.38,246.66,226.68,245.23,,,,,,,,,,,,,,22881673674.71625,93139877.375,754958016.0,23443013085.5
2017-07-09,245.23,249.0,234.15,234.97,,,,,,,,,,,,,,22147616012.10375,93166818.15625,505118016.0,22559120946.3
2017-07-10,234.97,238.01,187.5,202.0,,,,,,,,,,,,,,19175031960.08,93191251.75,937219008.0,20069373698.1
2017-07-11,202.0,215.0,169.0,188.63,,,,,,,,,,,,,,17762160147.18125,93215219.875,1440950016.0,18401040700.6
2017-07-12,188.63,225.0,177.78,223.92,,,,,,,,,,,,,,20899557230.67656,93239157.84375,1241190016.0,21517152173.6
2017-07-13,223.92,224.99,189.46,205.0,,,,,,,,,,,,,,19157138329.33781,93262929.40625,828489024.0,19560300930.2
2017-07-14,205.0,207.76,179.58,196.49,,,,,,,,,,,,,,18390540167.373123,93286700.65625,749382016.0,18625794688.3
2017-07-15,196.49,197.8,169.82,170.15,,,,,,,,,,,,,,15778865242.3,93310853.0,810451968.0,15923953592.6
2017-07-16,170.15,172.7,136.12,157.4,,,,,,,,,,,,,,14506104358.89125,93334862.6875,1516889984.0,14687441604.6
2017-07-17,157.4,190.61,155.0,190.16,,,,,,,,,,,,,,17735291632.633434,93358380.96875,1669500032.0,18057735704.2
2017-07-18,190.16,258.0,177.5,226.56,,,,,,,,,,,,,,21206193610.659065,93382331.28125,2709260032.0,21887962775.7
2017-07-19,226.56,245.61,187.0,194.63,,,,,,,,,,,,,,18159218879.84875,93406814.875,2328790016.0,18653610728.8
2017-07-20,194.63,238.0,194.63,227.29,,,,,,,,,,,,,,21146307868.91188,93431307.6875,2224999936.0,21233651866.3
2017-07-21,227.29,239.0,208.0,216.11,,,,,,,,,,,,,,20217152572.458748,93455149.875,1006129984.0,20401709506.4
2017-07-22,216.11,237.19,214.35,232.01,,,,,,,,,,,,,,21544210505.20531,93479457.21875,618259968.0,21451273566.4
