TIMESTAMP,ADJUSTED_CLOSE_PRICE_USD,LOW_PRICE_USD,VOLUME_USD,CLOSE_PRICE_USD,HIGH_PRICE_USD,OPEN_PRICE_USD
2021-07-28 00:00:00,0.0,0.0,255680,0.0,0.0,0.0
2021-07-29 00:00:00,0.0,0.0,658074,0.0,0.0,0.0
2021-07-30 00:00:00,0.0,0.0,743609,0.0,0.0,0.0
2021-07-31 00:00:00,0.0,0.0,419009,0.0,0.0,0.0
2021-08-01 00:00:00,0.0,0.0,114503,0.0,0.0,0.0
2021-08-02 00:00:00,0.0,0.0,120616,0.0,0.0,0.0
2021-08-03 00:00:00,0.0,0.0,383863,0.0,0.0,0.0
2021-08-04 00:00:00,0.0,0.0,366567,0.0,0.0,0.0
2021-08-05 00:00:00,0.0,0.0,100877,0.0,0.0,0.0
2021-08-06 00:00:00,0.0,0.0,64338,0.0,0.0,0.0
2021-08-07 00:00:00,0.0,0.0,44196,0.0,0.0,0.0
2021-08-08 00:00:00,0.0,0.0,134752,0.0,0.0,0.0
2021-08-09 00:00:00,0.0,0.0,148504,0.0,0.0,0.0
2021-08-10 00:00:00,0.0,0.0,95300,0.0,0.0,0.0
2021-08-11 00:00:00,0.0,0.0,139978,0.0,0.0,0.0
2021-08-12 00:00:00,0.0,0.0,364033,0.0,0.0,0.0
2021-08-13 00:00:00,0.0,0.0,743293,0.0,3.999999989900971e-06,0.0
2021-08-14 00:00:00,0.0,0.0,658334,0.0,0.0,0.0
2021-08-15 00:00:00,0.0,0.0,394710,0.0,0.0,0.0
2021-08-16 00:00:00,0.0,0.0,431756,0.0,0.0,0.0
2021-08-17 00:00:00,0.0,0.0,366156,0.0,0.0,0.0
2021-08-18 00:00:00,0.0,0.0,243373,0.0,0.0,0.0
2021-08-19 00:00:00,0.0,0.0,256656,0.0,0.0,0.0
2021-08-20 00:00:00,0.0,0.0,484319,0.0,0.0,0.0
2021-08-21 00:00:00,0.0,0.0,252271,0.0,0.0,0.0
2021-08-22 00:00:00,0.0,0.0,223884,0.0,0.0,0.0
2021-08-23 00:00:00,0.0,0.0,177534,0.0,0.0,0.0
2021-08-24 00:00:00,0.0,0.0,170043,0.0,0.0,0.0
2021-08-25 00:00:00,0.0,0.0,193142,0.0,0.0,0.0
2021-08-26 00:00:00,0.0,0.0,147680,0.0,0.0,0.0
2021-08-27 00:00:00,0.0,0.0,150077,0.0,0.0,0.0
2021-08-28 00:00:00,0.0,0.0,174660,0.0,0.0,0.0
2021-08-29 00:00:00,0.0,0.0,143550,0.0,0.0,0.0
2021-08-30 00:00:00,0.0,0.0,113457,0.0,0.0,0.0
2021-08-31 00:00:00,0.0,0.0,110230,0.0,0.0,0.0
2021-09-01 00:00:00,0.0,0.0,184359,0.0,0.0,0.0
2021-09-02 00:00:00,0.0,0.0,206119,0.0,0.0,0.0
2021-09-03 00:00:00,0.0,0.0,153948,0.0,0.0,0.0
2021-09-04 00:00:00,0.0,0.0,167800,0.0,0.0,0.0
2021-09-05 00:00:00,0.0,0.0,167833,0.0,0.0,0.0
2021-09-06 00:00:00,0.0,0.0,121203,0.0,0.0,0.0
2021-09-07 00:00:00,0.0,0.0,103132,0.0,0.0,0.0
2021-09-08 00:00:00,0.0,0.0,97785,0.0,0.0,0.0
2021-09-09 00:00:00,0.0,0.0,201804,0.0,0.0,0.0
2021-09-10 00:00:00,0.0,0.0,248036,0.0,0.0,0.0
2021-09-11 00:00:00,0.0,0.0,152270,0.0,0.0,0.0
2021-09-12 00:00:00,0.0,0.0,98887,0.0,0.0,0.0
2021-09-13 00:00:00,0.0,0.0,94961,0.0,0.0,0.0
2021-09-14 00:00:00,0.0,0.0,104810,0.0,0.0,0.0
2021-09-15 00:00:00,0.0,0.0,95356,0.0,0.0,0.0
