TIMESTAMP,KANGAL_OPEN_PRICE_USD,KANGAL_HIGH_PRICE_USD,KANGAL_LOW_PRICE_USD,KANGAL_CLOSE_PRICE_USD,KANGAL_VOLUME_USD,KANGAL_DIVIDENDS_USD,KANGAL_STOCK_SPLITS_USD
2023-03-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,185,0.0,0.0
2023-03-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,53,0.0,0.0
2023-03-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,31,0.0,0.0
2023-03-27 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,17,0.0,0.0
2023-03-28 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,34,0.0,0.0
2023-03-29 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,45,0.0,0.0
2023-03-30 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,5,0.0,0.0
2023-03-31 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,6,0.0,0.0
2023-04-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,20,0.0,0.0
2023-04-02 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,9,0.0,0.0
2023-04-03 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-04 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,182,0.0,0.0
2023-04-05 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-06 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3,0.0,0.0
2023-04-07 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,25,0.0,0.0
2023-04-08 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-09 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,37,0.0,0.0
2023-04-10 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,13,0.0,0.0
2023-04-11 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,43,0.0,0.0
2023-04-12 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,40,0.0,0.0
2023-04-13 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-14 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-15 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1,0.0,0.0
2023-04-16 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-17 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,29,0.0,0.0
2023-04-18 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,9,0.0,0.0
2023-04-19 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,102,0.0,0.0
2023-04-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,23,0.0,0.0
2023-04-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,441,0.0,0.0
2023-04-22 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,8,0.0,0.0
2023-04-23 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,22,0.0,0.0
2023-04-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,31,0.0,0.0
2023-04-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,0,0.0,0.0
2023-04-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,10,0.0,0.0
2023-04-27 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1,0.0,0.0
2023-04-28 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,59,0.0,0.0
2023-04-29 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1,0.0,0.0
2023-04-30 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,11,0.0,0.0
2023-05-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,766,0.0,0.0
2023-05-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,21,0.0,0.0
2023-05-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,101,0.0,0.0
2023-05-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,111,0.0,0.0
2023-05-05 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,10,0.0,0.0
2023-05-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,22,0.0,0.0
2023-05-07 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,379,0.0,0.0
2023-05-08 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,3,0.0,0.0
2023-05-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,42,0.0,0.0
2023-05-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,513,0.0,0.0
2023-05-11 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,90,0.0,0.0
2023-05-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,304,0.0,0.0
2023-05-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,39,0.0,0.0
2023-05-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,97,0.0,0.0
2023-05-15 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,137,0.0,0.0
2023-05-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,78,0.0,0.0
2023-05-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1098,0.0,0.0
2023-05-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5,0.0,0.0
2023-05-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,6,0.0,0.0
2023-05-20 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,219,0.0,0.0
2023-05-21 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,13,0.0,0.0
2023-05-22 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,563,0.0,0.0
2023-05-23 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,28,0.0,0.0
2023-05-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8,0.0,0.0
2023-05-25 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,4,0.0,0.0
2023-05-26 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,28,0.0,0.0
2023-05-27 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,158,0.0,0.0
2023-05-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-05-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8,0.0,0.0
2023-05-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-05-31 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1226,0.0,0.0
2023-06-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,97,0.0,0.0
2023-06-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3,0.0,0.0
2023-06-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-06-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5,0.0,0.0
2023-06-05 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3,0.0,0.0
2023-06-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,54,0.0,0.0
2023-06-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,697,0.0,0.0
2023-06-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-06-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2,0.0,0.0
2023-06-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,11,0.0,0.0
2023-06-11 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-06-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,213,0.0,0.0
2023-06-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,23,0.0,0.0
2023-06-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9,0.0,0.0
2023-06-15 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,117,0.0,0.0
2023-06-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9,0.0,0.0
2023-06-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-06-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,2144,0.0,0.0
2023-06-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,46,0.0,0.0
2023-06-20 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-06-21 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,26,0.0,0.0
2023-06-22 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,13,0.0,0.0
2023-06-23 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1,0.0,0.0
2023-06-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,76,0.0,0.0
2023-06-25 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2,0.0,0.0
2023-06-26 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2,0.0,0.0
2023-06-27 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9,0.0,0.0
2023-06-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-06-29 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,0,0.0,0.0
2023-06-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,248,0.0,0.0
2023-07-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,53,0.0,0.0
2023-07-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,39,0.0,0.0
2023-07-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,13,0.0,0.0
2023-07-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,6,0.0,0.0
2023-07-05 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1,0.0,0.0
2023-07-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-07-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,770,0.0,0.0
2023-07-08 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1236,0.0,0.0
2023-07-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,28,0.0,0.0
2023-07-10 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,36,0.0,0.0
2023-07-11 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,7,0.0,0.0
2023-07-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,22,0.0,0.0
2023-07-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,8,0.0,0.0
2023-07-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1194,0.0,0.0
2023-07-15 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,22,0.0,0.0
2023-07-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-07-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2,0.0,0.0
2023-07-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,561,0.0,0.0
2023-07-19 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,11,0.0,0.0
2023-07-20 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,21,0.0,0.0
2023-07-21 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,19,0.0,0.0
2023-07-22 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-07-23 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,235,0.0,0.0
2023-07-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-07-25 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,40,0.0,0.0
2023-07-26 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,71,0.0,0.0
2023-07-27 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9,0.0,0.0
2023-07-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,4,0.0,0.0
2023-07-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,68,0.0,0.0
2023-07-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,78,0.0,0.0
2023-07-31 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3,0.0,0.0
2023-08-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,26,0.0,0.0
2023-08-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1,0.0,0.0
2023-08-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,51,0.0,0.0
2023-08-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-08-05 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3,0.0,0.0
2023-08-06 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,2,0.0,0.0
2023-08-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,252,0.0,0.0
2023-08-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-08-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,6,0.0,0.0
2023-08-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,0,0.0,0.0
2023-08-11 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,80,0.0,0.0
2023-08-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5,0.0,0.0
2023-08-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-08-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,12,0.0,0.0
2023-08-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4,0.0,0.0
2023-08-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1,0.0,0.0
2023-08-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-08-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,16,0.0,0.0
2023-08-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23,0.0,0.0
2023-08-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,28,0.0,0.0
2023-08-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,47,0.0,0.0
2023-08-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,112,0.0,0.0
2023-08-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,38,0.0,0.0
2023-08-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,90,0.0,0.0
2023-08-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,133,0.0,0.0
2023-08-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3,0.0,0.0
2023-08-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,65,0.0,0.0
2023-08-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,750,0.0,0.0
2023-08-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7,0.0,0.0
2023-08-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,16,0.0,0.0
2023-08-31 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,10,0.0,0.0
2023-09-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,253,0.0,0.0
2023-09-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,31,0.0,0.0
2023-09-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,194,0.0,0.0
2023-09-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,69,0.0,0.0
2023-09-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,44,0.0,0.0
2023-09-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5,0.0,0.0
2023-09-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,324,0.0,0.0
2023-09-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,18,0.0,0.0
2023-09-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,66,0.0,0.0
2023-09-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,45,0.0,0.0
2023-09-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1,0.0,0.0
2023-09-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6,0.0,0.0
2023-09-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17,0.0,0.0
2023-09-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,25,0.0,0.0
2023-09-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,0,0.0,0.0
2023-09-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9,0.0,0.0
2023-09-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1,0.0,0.0
2023-09-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,11,0.0,0.0
2023-09-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,41,0.0,0.0
2023-09-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2,0.0,0.0
