TIMESTAMP,DGB_CLOSE_PRICE_USD,DGB_OPEN_PRICE_USD,DGB_HIGH_PRICE_USD,DGB_LOW_PRICE_USD
2017-06-03,0.003213,0.002803,0.003398,0.002655
2017-06-04,0.00377,0.003213,0.00377,0.002544
2017-06-05,0.003718,0.00377,0.003825,0.002923
2017-06-06,0.003617,0.003718,0.003718,0.003152
2017-06-07,0.00325,0.003617,0.00395,0.003132
2017-06-08,0.003431,0.00325,0.003511,0.003055
2017-06-09,0.003426,0.003431,0.003752,0.00329
2017-06-10,0.003278,0.003426,0.003591,0.00313
2017-06-11,0.003454,0.003278,0.003563,0.003195
2017-06-12,0.00299,0.003454,0.003479,0.002464
2017-06-13,0.003187,0.00299,0.003408,0.0028
2017-06-14,0.002824,0.003187,0.003384,0.002604
2017-06-15,0.002936,0.002824,0.003083,0.0023
2017-06-16,0.003058,0.002936,0.0032,0.002634
2017-06-17,0.003246,0.003058,0.003355,0.00293
2017-06-18,0.002994,0.003246,0.003294,0.002867
2017-06-19,0.003168,0.002994,0.003316,0.002928
2017-06-20,0.003104,0.003168,0.003235,0.003035
2017-06-21,0.002963,0.003104,0.003235,0.002822
2017-06-22,0.002987,0.002963,0.003179,0.002849
2017-06-23,0.003074,0.002987,0.00322,0.002918
2017-06-24,0.0029,0.003074,0.003187,0.002689
2017-06-25,0.002573,0.0029,0.003265,0.002254
2017-06-26,0.002516,0.002573,0.002886,0.002197
2017-06-27,0.002534,0.002516,0.002652,0.002065
2017-06-28,0.0028,0.002534,0.002832,0.002395
2017-06-29,0.002534,0.0028,0.00282,0.002418
2017-06-30,0.002555,0.002534,0.002795,0.002431
2017-07-01,0.002239,0.002555,0.00256,0.002071
2017-07-02,0.00246,0.002239,0.002545,0.00213
2017-07-03,0.002502,0.00246,0.002552,0.002165
2017-07-04,0.002525,0.002502,0.002682,0.002435
2017-07-05,0.00265,0.002525,0.00272,0.002369
2017-07-06,0.002688,0.00265,0.002764,0.002567
2017-07-07,0.002382,0.002688,0.002688,0.002359
2017-07-08,0.002351,0.002382,0.002487,0.002166
2017-07-09,0.002284,0.002351,0.002459,0.002264
2017-07-10,0.00218,0.002284,0.002333,0.002169
2017-07-11,0.00218,0.00218,0.00218,0.00218
2017-07-12,0.001848,0.002197,0.002197,0.00174
2017-07-13,0.001783,0.001848,0.002051,0.001719
2017-07-14,0.001661,0.001783,0.001836,0.001545
2017-07-15,0.001466,0.001661,0.001661,0.001446
2017-07-16,0.001305,0.001466,0.00158,0.001251
2017-07-17,0.001563,0.001305,0.001564,0.001293
2017-07-18,0.001802,0.001563,0.002133,0.00143
2017-07-19,0.001637,0.001802,0.002006,0.001589
2017-07-20,0.001872,0.001637,0.001996,0.001628
2017-07-21,0.001949,0.001872,0.001969,0.001854
2017-07-22,0.002093,0.001949,0.002112,0.001949
2017-07-23,0.002007,0.002093,0.002225,0.001965
2017-07-24,0.002025,0.002007,0.002048,0.001949
2017-07-25,0.001759,0.002025,0.002037,0.001681
2017-07-26,0.001783,0.001759,0.001868,0.00165
2017-07-27,0.001842,0.001783,0.001941,0.001744
2017-07-28,0.001767,0.001842,0.001852,0.001672
2017-07-29,0.001744,0.001767,0.001845,0.001599
2017-07-30,0.001686,0.001744,0.001778,0.00168
2017-07-31,0.001674,0.001686,0.001819,0.001592
2017-08-01,0.001781,0.001674,0.001853,0.001607
2017-08-02,0.001846,0.001781,0.002108,0.001676
2017-08-03,0.001763,0.001846,0.001901,0.0015
2017-08-04,0.001819,0.001763,0.001837,0.001676
2017-08-05,0.002068,0.001819,0.002129,0.00176
2017-08-06,0.001936,0.002068,0.002161,0.001931
2017-08-07,0.001948,0.001936,0.002061,0.00187
2017-08-08,0.001965,0.001948,0.00202,0.001893
2017-08-09,0.001915,0.001965,0.001993,0.001853
2017-08-10,0.001935,0.001915,0.002181,0.001814
2017-08-11,0.001871,0.001935,0.001998,0.001796
2017-08-12,0.001854,0.001871,0.001998,0.001745
2017-08-13,0.001779,0.001854,0.001888,0.001405
2017-08-14,0.001754,0.001779,0.001913,0.00167
2017-08-15,0.001699,0.001754,0.001846,0.001565
2017-08-16,0.001766,0.001699,0.001874,0.001647
2017-08-17,0.001696,0.001766,0.001846,0.001576
2017-08-18,0.001653,0.001696,0.001764,0.001581
