Categorie: Alle categorieën

Maand,Bitcoin: (Wereldwijd)
2009-01,<1
2009-02,1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,1
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,7
2013-05,3
2013-06,2
2013-07,2
2013-08,3
2013-09,2
2013-10,4
2013-11,11
2013-12,12
2014-01,8
2014-02,9
2014-03,7
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,4
2016-01,4
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,4
2016-12,5
2017-01,7
2017-02,6
2017-03,8
2017-04,7
2017-05,16
2017-06,17
2017-07,14
2017-08,22
2017-09,22
2017-10,23
2017-11,39
2017-12,100
2018-01,57
2018-02,43
2018-03,24
2018-04,19
2018-05,15
2018-06,14
2018-07,14
2018-08,13
2018-09,13
2018-10,11
2018-11,14
2018-12,14
2019-01,10
2019-02,10
2019-03,9
2019-04,12
2019-05,18
2019-06,22
2019-07,20
2019-08,24
2019-09,73
2019-10,13
2019-11,12
2019-12,11
2020-01,14
2020-02,15
2020-03,21
2020-04,16
2020-05,21
2020-06,15
2020-07,15
2020-08,17
2020-09,14
2020-10,15
2020-11,26
2020-12,33
2021-01,65
2021-02,66
2021-03,51
2021-04,53
2021-05,66
2021-06,50
2021-07,34
2021-08,34
2021-09,33
2021-10,38
2021-11,36
2021-12,37
2022-01,46
2022-02,41
2022-03,32
2022-04,27
2022-05,39
2022-06,47
2022-07,33
2022-08,25
2022-09,24
2022-10,19
2022-11,28
2022-12,20
2023-01,22
2023-02,18
2023-03,26
2023-04,24
2023-05,21
2023-06,21
2023-07,19
2023-08,20
2023-09,17
2023-10,21
2023-11,23
2023-12,27
2024-01,32
2024-02,30
2024-03,47
2024-04,36
2024-05,26
2024-06,24
2024-07,25
2024-08,26
2024-09,22
2024-10,22
2024-11,53
2024-12,49
2025-01,38
2025-02,32
2025-03,32
2025-04,27
2025-05,27
