TIMESTAMP,X27655_OPEN_PRICE_USD,X27655_HIGH_PRICE_USD,X27655_LOW_PRICE_USD,X27655_CLOSE_PRICE_USD,X27655_VOLUME_USD,X27655_DIVIDENDS_USD,X27655_STOCK_SPLITS_USD
2024-08-23 00:00:00+00:00,,,,0.0,67,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,43,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,48,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,49,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-09-13 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,13,0.0,0.0
2024-09-16 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,10,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,6,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,6,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,82,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,44,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,13,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,10,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,17,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,29,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,23,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,18,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,50,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,18,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,18,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,19,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,25,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,49,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,6,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,47,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,33,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,17,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,29,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,34,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,16,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,19,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,140,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,29,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,19,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,29,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,130,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,30,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,25,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,197,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,216,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,115,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,32,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,50,0.0,0.0
2024-12-09 00:00:00+00:00,,,,0.0,32,0.0,0.0
2024-12-10 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,24,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,24,0.0,0.0
2024-12-14 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-12-15 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,26,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-12-18 00:00:00+00:00,,,,0.0,81,0.0,0.0
2024-12-19 00:00:00+00:00,,,,0.0,14,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,58,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,9,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,10,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,32,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,236,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,64,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,36,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,41,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,649,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,79,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,184,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,32,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,136,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,22,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,47,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,37,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,47,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,43,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,97,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,105,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,370,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,41,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,38,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,68,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-06-01 00:00:00+00:00,5.003074621257042e-10,5.003074621257042e-10,5.002730452119408e-10,5.002730452119408e-10,0,0.0,0.0
